family,n,n_graphs,ratio_pulser_mean,ratio_pulser_min,ratio_pulser_max,ratio_product_mean,ratio_product_min,ratio_product_max,ratio_hybrid_mean,ratio_hybrid_min,ratio_hybrid_max,mapping_error_mean,mapping_error_max,ratio_proxy_exact_mean,rounding_win_count,pulser_win_count
complete,4,20,0.46922742139302887,0.30320667503615045,0.5690889734249818,0.6283077333891748,0.5970205164718752,0.6557064494974953,0.6283077333891748,0.5970205164718752,0.6557064494974953,0.28004093614652115,0.45116447494847667,0.9518030563268896,20,0
complete,4,50,0.4430984218111666,0.1645694438934422,0.6547679566375195,0.6194546839502547,0.5364930540511766,0.6667249508797509,0.6194922921560879,0.5364930540511766,0.6667249508797509,0.2573482283860927,0.46055407175242824,0.9445390059146085,49,1
complete,4,100,0.4399932081113802,0.10532149539821274,0.6906461449723252,0.62185589454111,0.5255842706102699,0.6796483747187069,0.6221645714029821,0.5255842706102699,0.6906461449723252,0.2599070898834469,0.46055407175242824,0.9456467594849106,97,3
complete,4,150,0.4396021156364977,0.10532149539821274,0.6906461449723252,0.6229582575436793,0.5255842706102699,0.6796483747187069,0.6232587988787975,0.5255842706102699,0.6906461449723252,0.2562600670935077,0.46055407175242824,0.9494475133104314,146,4
generic_random,4,20,0.3863431859531257,0.15481032741784487,0.5842005863894937,0.5928068849499186,0.47312404873142266,0.6884366286261008,0.5928068849499186,0.47312404873142266,0.6884366286261008,0.020826529084150884,0.20971466816640127,0.8591522911917835,20,0
generic_random,4,50,0.36931764161242364,0.09417581361048662,0.5842005863894937,0.5950900913331101,0.46188512452707337,0.7081893955040961,0.5950900913331101,0.46188512452707337,0.7081893955040961,0.019112649429656025,0.34369158535471345,0.8419711361306703,50,0
generic_random,4,100,0.38459434240389795,0.07778553684128983,0.6619074086497427,0.5940880642426521,0.4050956606935193,0.7081893955040961,0.5942804056145048,0.4050956606935193,0.7081893955040961,0.024773746513881936,0.34369158535471345,0.7917181091007984,98,2
generic_random,4,150,0.4000060692033346,0.05631813607290856,0.6619074086497427,0.5982837873625366,0.4050956606935193,0.7258733366110527,0.5984120149437717,0.4050956606935193,0.7258733366110527,0.021934971439366967,0.3448297402723375,0.7855166682668259,148,2
dense_random,4,20,0.502298691719737,0.32605083234087734,0.6940895277825185,0.6192839518395955,0.5666194874695487,0.6887397594246931,0.620582078864335,0.5666194874695487,0.6940895277825185,0.07892147395704263,0.49922393016178224,0.7648985609745635,18,2
dense_random,4,50,0.4797384545276757,0.22926093539678039,0.6940895277825185,0.6086652058910069,0.4874044658977049,0.6887397594246931,0.6093813936902603,0.4874044658977049,0.6940895277825185,0.0795971133811873,0.49922393016178224,0.8050913625734133,47,3
dense_random,4,100,0.4541051330908916,0.07916791609057207,0.6940895277825185,0.6106914181064313,0.4874044658977049,0.7105083199636446,0.611049512006058,0.4874044658977049,0.7105083199636446,0.09221739380270552,0.49922393016178224,0.8384960719105881,97,3
dense_random,4,150,0.4561448511825256,0.07916791609057207,0.6940895277825185,0.6101836960937589,0.4527304842245453,0.7105083199636446,0.6106386868901292,0.4527304842245453,0.7105083199636446,0.08927281848012134,0.49922393016178224,0.8318521060995641,146,4
